Month,Search Term,Percentage
01-Jan,Arsenal F.C.–Manchester United F.C. rivalry,"+1,950%"
01-Jan,Miranda Hart,"+1,800%"
01-Jan,Dracula,"+1,050%"
01-Jan,BT Sport,+550%
01-Jan,Manchester City F.C.,+550%
01-Jan,New Year's Day,+500%
01-Jan,Premier League,+500%
01-Jan,Sports league,+350%
01-Jan,Newcastle United F.C.,+350%
01-Jan,Manchester United F.C.,+350%
01-Jan,EFL Championship,+350%
01-Jan,Aston Villa F.C.,+350%
01-Jan,D10-Octor Who,+350%
01-Jan,Arsenal F.C.,+350%
01-Jan,Leeds United,+350%
01-Jan,Football,+300%
01-Jan,Tottenham Hotspur F.C.,+250%
01-Jan,BBC Sport,+250%
01-Jan,Everton FC,+250%
01-Jan,West Ham United F.C.,+250%
01-Jan,Chelsea F.C.,+160%
01-Jan,Sports,+140%
01-Jan,Darts,+120%
01-Jan,Sky Sports,+120%
01-Jan,Sky,+110%
02-Feb,Italy national rugby union team,"+1,950%"
02-Feb,The Masked Singer,+900%
02-Feb,Irish Rugby,+800%
02-Feb,Wales national rugby union team,+700%
02-Feb,Southampton F.C.,+700%
02-Feb,Premier League,+550%
02-Feb,Leicester City F.C.,+500%
02-Feb,Sports league,+300%
02-Feb,Wolverhampton Wanderers F.C.,+300%
02-Feb,Six Nations Championship,+250%
02-Feb,Rugby union,+200%
02-Feb,Liverpool F.C.,+200%
02-Feb,Lottery,+170%
02-Feb,Football,+160%
02-Feb,Leeds United,+140%
02-Feb,National Lottery,+140%
02-Feb,Singing,+140%
02-Feb,Ireland,+130%
02-Feb,Ireland,+120%
02-Feb,BBC Sport,+110%
02-Feb,Result,+110%
02-Feb,Irish people,+100%
02-Feb,Chelsea F.C.,+90%
02-Feb,Manchester United F.C.,+90%
02-Feb,IKEA,+80%
03-Mar,St. David's Day,Breakout
03-Mar,Colin McRae,Breakout
03-Mar,FC Barcelona,+800%
03-Mar,Real Madrid C.F.,+750%
03-Mar,EFL Cup,+700%
03-Mar,Everton FC,+600%
03-Mar,Aston Villa F.C.,+500%
03-Mar,Wolverhampton Wanderers F.C.,+450%
03-Mar,Manchester City F.C.,+350%
03-Mar,Tottenham Hotspur F.C.,+350%
03-Mar,Manchester United F.C.,+250%
03-Mar,Roasting,+190%
03-Mar,Sunday,+80%
03-Mar,March,+60%
03-Mar,Easter,+40%
04-Apr,April Fools' Day,+300%
04-Apr,Jester,+250%
04-Apr,April,+150%
04-Apr,Result,+140%
04-Apr,Lottery,+120%
04-Apr,Practical joke,+100%
04-Apr,Sports league,+50%
04-Apr,Joke,+50%
04-Apr,5G,+40%
05-May,Domino's Pizza,+120%
05-May,Take-out,+70%
05-May,Menu,+50%
05-May,Chinese cuisine,+50%
05-May,Early 05-May Bank Holiday,+50%
05-May,Just Eat,+40%
05-May,Quiz,+40%
06-Jun,FTSE 100 Index,+650%
06-Jun,Google Classroom,+350%
06-Jun,Share price,+300%
06-Jun,Share,+250%
06-Jun,Lloyds Bank,+190%
06-Jun,Stock,+190%
06-Jun,LLOYDS BANK,+180%
06-Jun,Barclays,+170%
06-Jun,Telephone number,+150%
06-Jun,Telephone,+140%
06-Jun,Office 365,+140%
06-Jun,Halifax,+130%
06-Jun,NatWest,+120%
06-Jun,Pri03-Mary school,+120%
06-Jun,Universal Credit,+100%
06-Jun,Microsoft Office,+90%
06-Jun,Royal Mail,+90%
06-Jun,Council,+90%
06-Jun,Microsoft Corporation,+90%
06-Jun,Online banking,+80%
06-Jun,McDonald's,+80%
06-Jun,Natwest,+70%
06-Jun,School,+60%
06-Jun,License,+60%
06-Jun,Price,+60%
07-Jul,West Ham United F.C.,+450%
07-Jul,Chelsea F.C.,+250%
07-Jul,Arsenal F.C.,+200%
07-Jul,Newcastle United F.C.,+170%
07-Jul,Premier League,+110%
07-Jul,Lottery,+110%
07-Jul,Sports league,+90%
07-Jul,Result,+80%
07-Jul,July,+80%
07-Jul,BBC Sport,+60%
08-Aug,Arsenal F.C.–Chelsea F.C. rivalry,"+1,000%"
08-Aug,FA Cup,+950%
08-Aug,FA Cup Final,+500%
08-Aug,Arsenal F.C.,+500%
08-Aug,Chelsea F.C.,+400%
08-Aug,TikTok,+350%
08-Aug,Lottery,+180%
08-Aug,Premier League,+170%
08-Aug,Result,+140%
08-Aug,Cricket,+140%
08-Aug,BBC Sport,+120%
08-Aug,Sports league,+120%
08-Aug,Formula 1,+120%
08-Aug,Kit,+110%
08-Aug,Football,+110%
08-Aug,Liverpool F.C.,+90%
08-Aug,Ireland,+70%
08-Aug,August,+70%
08-Aug,Irish people,+70%
08-Aug,BBC iPlayer,+70%
08-Aug,Television,+50%
08-Aug,Nottingham,+50%
08-Aug,Morrisons,+50%
08-Aug,Bag,+50%
08-Aug,Currys,+50%
09-Sep,Harold Moody,Breakout
09-Sep,Spotify,+500%
09-Sep,Spotify,+450%
09-Sep,EuroMillions,+200%
09-Sep,Share price,+170%
09-Sep,Clinic,+140%
09-Sep,Share,+130%
09-Sep,Universal Credit,+120%
09-Sep,Test,+100%
09-Sep,Telephone number,+100%
09-Sep,Royal Mail,+100%
09-Sep,Stock,+90%
09-Sep,Pri03-Mary school,+90%
09-Sep,Customer,+90%
09-Sep,MOT test,+80%
09-Sep,September,+80%
09-Sep,Physician,+80%
09-Sep,Telephone,+80%
09-Sep,Online banking,+80%
09-Sep,NatWest,+80%
09-Sep,Customer Service,+80%
09-Sep,Gmail,+80%
09-Sep,Lloyds Bank,+70%
09-Sep,Service,+70%
09-Sep,HSBC Bank,+70%
10-Oct,Ignatius Sancho,Breakout
10-Oct,Nicholas Lyndhurst,Breakout
10-Oct,Chrissy Teigen,Breakout
10-Oct,Liverpool 0–2 Arsenal,"+4,700%"
10-Oct,Archie Bijörn Lyndhurst,"+3,650%"
10-Oct,UEFA Champions League,+550%
10-Oct,Tie,+400%
10-Oct,Liverpool F.C.,+350%
10-Oct,Quarantine,+250%
10-Oct,Arsenal F.C.,+180%
10-Oct,Sports league,+90%
10-Oct,Turkey,+80%
10-Oct,Room,+70%
10-Oct,Tottenham Hotspur F.C.,+60%
10-Oct,Golf,+50%
10-Oct,Nike,+50%
10-Oct,10-October,+50%
10-Oct,Driving,+40%
10-Oct,Nike,+40%
11-Nov,Arsenal F.C.–Manchester United F.C. rivalry,"+2,050%"
11-Nov,Brighton & Hove Albion Football Club,"+1,750%"
11-Nov,Southampton F.C.,"+1,350%"
11-Nov,Aston Villa F.C.,+500%
11-Nov,Tottenham Hotspur F.C.,+450%
11-Nov,Arsenal F.C.,+450%
11-Nov,Everton FC,+450%
11-Nov,Manchester United F.C.,+400%
11-Nov,Newcastle United F.C.,+350%
11-Nov,Roasting,+200%
11-Nov,November,+120%
11-Nov,Formula 1,+110%
11-Nov,Election,+90%
11-Nov,Exercise,+70%
11-Nov,Smyths,+70%
11-Nov,calendar,+70%
11-Nov,Christmas Day,+70%
11-Nov,Tree,+60%
11-Nov,Gift,+60%
11-Nov,University,+60%
11-Nov,Shoe,+60%
11-Nov,Premier League,+50%
11-Nov,John Lewis & Partners,+40%
11-Nov,Cooking,+40%
11-Nov,Test,+40%
12-Dec,Elliot Page,Breakout
12-Dec,December,"+1,400%"
12-Dec,UEFA Champions League,+950%
12-Dec,Debenhams,+600%
12-Dec,Liverpool F.C.,+190%
12-Dec,Holiday,+120%
12-Dec,Fortnite,+100%
12-Dec,Advent calendar,+80%
12-Dec,Advent,+70%
12-Dec,Result,+60%
12-Dec,Lottery,+60%
12-Dec,Flight,+40%